,GDP,FEDFUNDS,LIBOR,MORTGAGE30US,REAL_USER_COST,UNEMPLOYMENT_RT,XLB,XLF,XLI,XLK,XLU,XLV,XLY,GSPC
3605,0.0,1.0,1.0,0.0,0.0,0.0,0.8693637312049691,0.08970427319579544,0.7010676143256415,0.8972363379122577,0.9211267218618302,0.9644545917643842,0.9483251272346004,0.9388674029158264
3606,0.0,1.0,1.0,0.0,0.0,0.0,0.8699958167734725,0.08859984135465987,0.6939501542801356,0.8779178191723533,0.913682075459316,0.9593187999681688,0.9378056166619722,0.9272929623792798
3607,0.0,1.0,1.0,0.0,0.0,0.0,0.8678888112937231,0.08798625510629449,0.6962817586180021,0.8890528044101049,0.8871227258705627,0.9435058777862104,0.9413121671204152,0.9258032959362568
3608,0.0,1.0,1.0,0.0,0.0,0.0,0.8718921538560898,0.09093139888068197,0.6971407559597914,0.8917359888756593,0.8887324206356852,0.9521556866608128,0.9481406052953221,0.9304131291087694
3609,0.0,1.0,1.0,0.0,0.0,0.0,0.8822166736119186,0.09571727799424357,0.7070805957181674,0.8916018040641263,0.8933601779537059,0.9563454088336764,0.9512779710725076,0.9373817776160872
3610,1.0,0.0,0.0,0.0,1.0,1.0,0.8916983590250049,0.0997668536097666,0.7079395930599569,0.9082371383384762,0.8903420386463368,0.9625624525176808,0.9609670273163576,0.946721566945226
3611,1.0,0.0,0.0,0.0,1.0,1.0,0.8904341075108909,0.0989078562679772,0.7067124673750703,0.911054405262542,0.9066398527480826,0.9693201221455796,0.9633662349350792,0.9503134361245276
3612,1.0,0.0,0.0,0.0,1.0,1.0,0.8967552043272462,0.1016075655430186,0.7119891920814021,0.9192379387646944,0.9150905200015628,0.9801324347957602,0.9730552207775788,0.959752536549868
3613,1.0,0.0,0.0,0.0,1.0,1.0,0.8910661930793946,0.10258928013448104,0.7081850743711473,0.9172255760037842,0.9144869228418772,0.9713474436567204,0.9743470855565788,0.9575137431705942
3614,1.0,0.0,0.0,0.0,1.0,1.0,0.8767384111383059,0.10087128545090224,0.7003313576394472,0.9090420425016316,0.9162977910754048,0.961886747423204,0.9757312465058928,0.951530022310142
3615,1.0,0.0,0.0,0.0,1.0,1.0,0.8647282226969919,0.10148484829334548,0.6982451409890827,0.9127985007534076,0.9179074090860562,0.9631030784615754,0.9769308855159288,0.9530528261280928
3616,1.0,0.0,0.0,0.0,1.0,1.0,0.8621998000458713,0.1002576992025368,0.6960362773068116,0.9212503015256048,0.9207243749250204,0.9674279828988764,0.9809910017922072,0.9586145506011252
3617,1.0,0.0,0.0,0.0,1.0,1.0,0.8674673941223519,0.10222112838546182,0.7024174806661232,0.9252750270474256,0.9211267218618302,0.9676983474277516,0.9832979132406144,0.96144496735716
3618,1.0,0.0,0.0,0.0,1.0,1.0,0.8794775021865588,0.10455270931740608,0.7189839114713127,0.933190190926512,0.9130784782996306,0.953642382228059,0.9963089276022784,0.9671804609913996
3619,1.0,0.0,0.0,0.0,1.0,1.0,0.8803203365293013,0.10258928013448104,0.7150570531054626,0.936812464366755,0.9179074090860562,0.9563454088336764,1.0,0.9673997940431328
3620,1.0,0.0,0.0,0.0,1.0,1.0,0.8832701763517934,0.10173028279269164,0.7211927751535838,0.926616568103692,0.9108651863748228,0.950128365149672,0.9985235428803714,0.9631540678804982
3621,1.0,0.0,0.0,0.0,1.0,1.0,0.872313571027461,0.09878513901830416,0.7005767453269491,0.9237993011796262,0.9154929436928434,0.9503986265646917,0.9875426218575214,0.9550350069088396
3622,1.0,0.0,0.0,0.0,1.0,1.0,0.8775811651039416,0.10136213104367242,0.7022947400105279,0.9318486498702456,0.9261569028711316,0.9574266607214656,0.9860662351392432,0.9594587454331294
3623,1.0,0.0,0.0,0.0,1.0,1.0,0.8803203365293013,0.09988957085943972,0.7074487240612646,0.9271532049968028,0.9082494707587341,0.9444519474095622,0.9785918645748362,0.9518032035961326
